Class Name,Scientific Name,Botanical Family,Genus & Species,Local/Vernacular Names,Leaf Morphology,Plant Habit,Life Span,Geographical Origin,Native Habitat,Global Distribution,Preferred Soil Type,Climate Requirements,Primary Active Compounds,Secondary Metabolites,Essential Oils,Nutritional Profile,Therapeutic Properties,Traditional Uses,Modern Clinical Uses,Medicinal Part Used,Standard Dosage,Internal Preparation Method,External Application Method,Culinary Uses,Extraction Process,Toxicity Levels,Contraindications,Pregnancy & Lactation Safety,Drug-Herb Interactions,Conservation Status
4_11_punarnava,Boerhavia diffusa,Nyctaginaceae,Boerhavia / diffusa,"Bengali: Punarnava, Kshiringi; English: Spreading Hogweed; Hindi: Punarnava","Ovate, 1-3cm, glabrous to pubescent, slightly fleshy, opposite arrangement",Herb (prostrate spreading),Annual/Perennial,"Tropical Asia, Indian Subcontinent","Open grasslands, disturbed areas, field margins, cultivated fields","Pantropical, widely distributed in tropical regions","Well-drained sandy loam, adaptable to poor soils","Tropical-subtropical, 20-35°C, moderate rainfall (600-2000mm)","Rotenone, alkaloids (boeravinone), flavonoids","Saponins, tannins, phenols, glycosides, triterpenes",Trace amounts,"Minerals, vitamins, chlorophyll","Diuretic, anti-inflammatory, antimicrobial, hepatoprotective, anthelmintic","Ayurvedic diuretic and rejuvenative, kidney/urinary support, liver tonic, skin health","Kidney function support, diuretic therapy, liver health promotion",Root and whole plant,"3-6g dried herb daily, 1-2 tbsp fresh juice, decoction","Decoction, fresh juice, powder, infusion","Paste, poultice, topical application",Minimal culinary use; medicinal herb primarily,"Aqueous decoction, 50% ethanol extraction, juice extraction",Low; rotenone content means moderation advised,"Pregnancy, acute kidney disease, diuretic overdose risk",Avoid in pregnancy; minimal use in lactation,May enhance diuretics; caution with potassium-affecting drugs,"Common, IUCN: Not evaluated (abundant and widespread)"
4_12_agnishikha,Justicia adhatoda,Acanthaceae,Justicia / adhatoda,"Bengali: Agnishikha, Bashok Pata; English: Malabar Nut, Vassa; Hindi: Adusa, Vasa","Lanceolate, 8-15cm long, acuminate apex, pubescent, opposite arrangement",Shrub,Perennial,"Indian Subcontinent, Southeast Asia","Tropical deciduous forests, forest edges, cultivated areas","India, Bangladesh, Southeast Asia, now cultivated widely","Well-drained loamy soil, fertile, slightly acidic","Tropical-subtropical, 20-30°C, moderate rainfall (1000-2500mm)","Vasicine (quinazoline alkaloid), vasicinone, essential oils","Alkaloids (anisotine), flavonoids, tannins, phenols",0.2-0.5% aromatic essential oil,"Vitamin A, calcium, iron, phosphorus","Bronchodilator, expectorant, antitussive, antimicrobial, anti-inflammatory","Ayurvedic respiratory tonic, cough remedy, asthma support, tuberculosis support","Respiratory health, cough suppression, bronchitis treatment, asthma support","Leaves, bark, roots","2-4g dried leaves daily, leaf juice 5-10ml, or standardized extract","Decoction, fresh juice, powder, herbal syrup, standardized extract","Paste, leaf poultice, topical application",None; medicinal herb,"Aqueous decoction, 60% ethanol extraction, juice extraction",Low; vasicine safe at therapeutic doses,"Pregnancy (mild uterine stimulation), hypotension, cardiac issues",Avoid in pregnancy; safe in lactation,May enhance blood pressure-affecting drugs; caution with cardiac meds,"Common, IUCN: Not evaluated (widely cultivated)"
4_13_tulsi,Ocimum sanctum,Lamiaceae,Ocimum / sanctum,"Bengali: Tulsi, Tulshi; English: Holy Basil; Hindi: Tulsi, Basil, Sharada","Ovate to oblong, 1-3cm, pubescent, margin serrate, opposite arrangement, aromatic","Herb (erect, branched)",Annual/Short-lived perennial,Indian Subcontinent,"Tropical regions, cultivated gardens, temple areas","India, Bangladesh, Southeast Asia, now cultivated globally","Well-drained loamy soil, fertile, good drainage","Tropical-subtropical, 20-28°C, moderate rainfall (1000-2000mm)","Eugenol, orientin, vicenin, rosmarinic acid, apigenin","Alkaloids, flavonoids, tannins, phenolic compounds",0.5-1% essential oil (eugenol 60-80%),"Vitamin A, C, calcium, iron, potassium, manganese","Adaptogenic, antioxidant, antimicrobial, anti-inflammatory, immunomodulating","Ayurvedic adaptogen, stress relief, fever management, cough remedy, spiritual herb","Stress and anxiety management, immune support, antioxidant therapy, respiratory health",Leaves and aerial parts,"2-4g dried leaves daily, fresh leaf juice 5-10ml, or 300-600mg extract","Fresh juice, herbal tea, powder, decoction, standardized extract","Leaf paste, topical application, essential oil massage","Edible leaves in teas, traditional Indian curries, garnish, spice","Water extraction, 60-70% ethanol extraction, essential oil distillation, cold infusion",Very low; safe herb with extensive traditional use,"Pregnancy (mild stimulation), hypoglycemia risk with some preparation",Generally safe in pregnancy and lactation at normal culinary/mild therapeutic doses,May enhance anticoagulants; minimal interactions otherwise,"Common, IUCN: Not evaluated (widely cultivated, sacred status)"
4_14_ramtulshi,Ocimum basilicum,Lamiaceae,Ocimum / basilicum,"Bengali: Ramtulshi, Sweet Basil; English: Sweet Basil, Garden Basil; Hindi: Ram Tulsi","Ovate to oblong, 2-4cm, glabrous to pubescent, margin entire/serrate, opposite arrangement","Herb (erect, branched)",Annual,Indian Subcontinent,"Tropical and subtropical regions, cultivated globally",Widely cultivated throughout temperate and tropical regions,"Well-drained loamy soil, fertile, good drainage","Warm temperate to tropical, 18-28°C, moderate rainfall (500-1500mm)","Estragole, linalool, methyl cinnamate, eugenol (less than O. sanctum)","Flavonoids, tannins, phenolic compounds, alkaloids",0.1-0.4% essential oil (varied composition),"Vitamin A, C, K, calcium, iron, manganese, magnesium","Antimicrobial, anti-inflammatory, antioxidant, digestive support, carminative","Culinary herb with medicinal properties, digestive aid, fever support","Digestive health, antimicrobial support, culinary and medicinal applications",Leaves and aerial parts,"2-4g dried leaves daily, fresh juice 5-10ml, or as culinary spice","Fresh herb, herbal tea, powder, decoction, culinary use","Leaf paste, essential oil, topical application","Extensively used in Italian and Mediterranean cuisine, teas, pesto, garnish","Water extraction, 50% ethanol extraction, essential oil distillation","Very low; culinary herb, safe with common use",Rare; estragole at very high doses considered (normal use safe),Safe in pregnancy and lactation at normal culinary amounts,Minimal interactions expected,"Common, IUCN: Not evaluated (widely cultivated globally)"
4_15_basok,Adhatoda vasica,Acanthaceae,Adhatoda / vasica,"Bengali: Basok, Bashak; English: Malabar Nut, Adatoda; Hindi: Adusa","Lanceolate, 10-18cm long, acuminate, pubescent, opposite arrangement",Shrub,Perennial,Indian Subcontinent,"Tropical deciduous forests, forest margins, cultivated areas","India, Bangladesh, Southeast Asia","Well-drained loamy soil, fertile, slightly acidic","Tropical-subtropical, 20-30°C, moderate rainfall (1000-2500mm)","Vasicine, vasicinone, alkaloids, essential oils","Flavonoids, tannins, phenols, glycosides",0.2-0.5% aromatic oil,"Vitamin A, calcium, iron, phosphorus","Bronchodilator, expectorant, antitussive, antimicrobial, anti-inflammatory","Ayurvedic cough remedy, respiratory support, asthma management, lung health","Respiratory health, bronchitis treatment, cough suppression, asthma support","Leaves, bark, roots, seeds","2-4g dried leaves daily, leaf juice 5-10ml, or standardized extract","Decoction, fresh juice, powder, syrup, standardized extract","Paste, poultice, topical application",None; medicinal herb,"Aqueous decoction, 60% ethanol extraction, juice extraction",Low; vasicine safe at therapeutic doses,"Pregnancy (mild uterine effects), hypotension, cardiac disease",Avoid in pregnancy; safe in lactation,May enhance blood pressure drugs; caution with cardiac medications,"Common, IUCN: Not evaluated (widely cultivated)"
4_16_neem,Azadirachta indica,Meliaceae,Azadirachta / indica,"Bengali: Neem, Nim; English: Indian Lilac, Neem Tree; Hindi: Neem, Nimb","Pinnate, leaflets lanceolate, 2-4cm, glabrous, serrate margin, feathery appearance",Tree (medium),"Perennial (long-lived, 150-200+ years)",Indian Subcontinent,"Tropical dry forests, deciduous forests, semi-arid regions","India, Bangladesh, pantropical cultivation, adapted globally","Well-drained loamy soil, tolerates poor soils, slightly acidic to alkaline","Tropical-subtropical, 15-40°C, drought tolerant, 400-2250mm rainfall","Azadirachtin (limonoid), nimbin, salannin, mahagoni, fatty acids","Alkaloids, flavonoids, tannins, phenols, triterpenes",0.1-0.5% volatile oils (margosa oil),"Vitamin A, C, iron, calcium, phosphorus, healthy fatty acids (seed oil)","Antimicrobial, antifungal, anthelmintic, anti-inflammatory, immunomodulating, skin health","Ayurvedic purifying herb, skin conditions, fever, parasites, liver support","Antimicrobial therapy, antifungal support, dental health, immune enhancement","Leaves (primary), bark, seeds, oil","3-6g dried leaves daily, leaf juice 5-10ml, neem oil applied topically only","Decoction, powder, fresh juice, limited internal use of leaf extract","Neem oil topical application, paste, poultice, skin wash","Neem leaves occasionally in curry (bitter), not common culinary use","Oil pressing (seed), aqueous decoction (leaf), 50% ethanol extraction",Low for leaves; neem oil seed extract has moderate toxicity (LD50 31.62 mg/kg extract),"Pregnancy AVOID internal use (potential teratogenic effects with seed oil), lactation caution",AVOID seed oil in pregnancy (teratogenic potential); leaf use minimal and cautious,"May enhance anticoagulants; caution with immune-suppressing drugs, blood thinners","Common, IUCN: Not evaluated (widespread, sacred and protected)"
4_17_pudina,Mentha piperita,Lamiaceae,Mentha / piperita,"Bengali: Pudina, Peppermint; English: Peppermint; Hindi: Pudina","Lanceolate to elliptic, 2-4cm, glabrous, serrate margin, opposite arrangement, aromatic","Herb (stoloniferous, spreading)",Perennial,"Hybrid species (Asia origin, Mediterranean cultivation)","Temperate to subtropical regions, cultivated globally",Cultivated worldwide in temperate and subtropical regions,"Well-drained loamy soil, fertile, moist","Temperate to subtropical, 10-28°C, moderate rainfall (500-1500mm), frost hardy","Menthol (40-90%), menthone, limonene, pulegone, eucalyptol","Flavonoids, tannins, phenolic compounds, rosmarinic acid",2-3% essential oil (menthol rich),"Vitamin A, C, minerals, manganese, iron","Antispasmodic, carminative, digestive aid, cooling, antimicrobial, anti-inflammatory","Ayurvedic cooling herb, digestive aid, headache relief, respiratory support","Digestive health, IBS support, headache and migraine management, cooling remedy",Leaves and aerial parts,"2-4g dried leaves daily, fresh juice 5-10ml, or essential oil 1-3 drops","Herbal tea, infusion, fresh juice, powder, essential oil (cautious internal use)","Leaf paste, essential oil topical (diluted), massage oil","Extensively used in teas, beverages, desserts, savory dishes, candy, garnish","Water extraction, 50% ethanol extraction, essential oil steam distillation","Very low; safe culinary herb, essential oil caution in high doses","Infants/young children (menthol caution), GERD aggravation possible, pregnancy minimal concern",Safe in pregnancy and lactation at normal culinary and mild therapeutic doses,Minimal interactions; may slightly enhance some medications,"Common, IUCN: Not evaluated (widely cultivated, hybrid species)"
4_18_joba,Hibiscus sabdariffa,Malvaceae,Hibiscus / sabdariffa,"Bengali: Joba, Loha; English: Roselle, Red Sorrel, Hibiscus; Hindi: Jaba","Deeply lobed, 3-5 lobes, 5-10cm, serrate, glabrous to pubescent, alternate arrangement",Herb/Shrub,Annual/Perennial (depends on climate),"Tropical Africa, Indian Subcontinent","Tropical grasslands, cultivated fields, open areas","Pantropical cultivation, India, Bangladesh, Africa, Caribbean","Well-drained loamy soil, fertile, slightly acidic to neutral","Tropical-subtropical, 20-32°C, moderate rainfall (750-2000mm)","Anthocyanins, flavonoids (hibiscetine), organic acids (citric, malic, tartaric)","Polyphenols, tannins, protocatechuic acid, hibiscic acid",Minimal essential oils,"Vitamin C, vitamin A, calcium, iron, phosphorus, antioxidants","Antioxidant, antimicrobial, anti-inflammatory, antihypertensive, hepatoprotective","Ayurvedic cooling tonic, blood pressure support, digestive aid, menstrual support","Blood pressure management, antioxidant therapy, metabolic syndrome support","Calyces (sepals), leaves, flowers","2-4g dried calyces daily, herbal tea 1-3 cups daily","Herbal tea, decoction, fresh juice, powder","Paste, topical application, herbal wash","Extensively used in teas, beverages, jams, chutneys, sauces, garnish","Water extraction (tea preferred), 50% ethanol extraction, juice extraction",Very low; food-grade herb,"Pregnancy (mild uterine effects in some studies), kidney disease caution",Generally safe at normal culinary amounts; avoid high medicinal doses in pregnancy,May enhance blood pressure drugs; minimal other interactions,"Common, IUCN: Not evaluated (widely cultivated)"
4_19_sojina,Moringa oleifera,Moringaceae,Moringa / oleifera,"Bengali: Sojina, Sojne; English: Drumstick Tree, Moringa; Hindi: Shigru, Sahjan","Tripinnate, leaflets small (0.3-0.8cm), ovate, glabrous, feathery appearance",Tree (small to medium),Perennial,Indian Subcontinent,"Tropical dry forests, semi-arid regions, cultivated widely","India, Bangladesh, Africa, now pantropical cultivation","Well-drained sandy loam, tolerates poor soils, slightly alkaline to neutral","Tropical-subtropical, 15-35°C, drought tolerant, 400-2250mm rainfall","Proteins, amino acids, vitamins A/C, minerals, glucosinolates, niazimicin","Flavonoids, polyphenols, benzyl isothiocyanate, carotenoids",Minimal essential oils,"Exceptional nutrition: protein 25-30%, vitamin C, vitamin A, calcium, iron (leaves are superfood)","Antioxidant, anti-inflammatory, antimicrobial, anticancer potential, nutritive","Ayurvedic nutritive tonic, blood support, energy enhancement, skin health","Nutritional support, antioxidant therapy, blood health, energy and stamina","Leaves (primary), pods, seeds, root","Fresh leaves 50-100g daily, dried powder 3-6g daily, standardized extract","Fresh leaves cooked, powder, herbal tea, decoction, juice extraction","Paste, topical application, seed oil (rarely)","Edible leaves in curries, pods as vegetable, seeds for oil (culinary and medicinal)","Water extraction, 50-70% ethanol extraction, cold pressing (seed oil)",Very low; superfood status,None significant; root traditionally avoided in pregnancy (uterine stimulant potential),Leaves safe in pregnancy and lactation (nutritive); avoid root in pregnancy,Minimal interactions expected,"Common, IUCN: Not evaluated (widely cultivated, important food crop)"
5_20_gandha,Ixora coccinea,Rubiaceae,Ixora / coccinea,"Bengali: Gandha, Gandha Raj, Jaba; English: Flame of the Forest, Jungle Geranium; Hindi: Ixora","Elliptic-oblong, 5-10cm, glabrous, opposite arrangement, leathery",Shrub,Perennial,"South Asia, Indian Subcontinent","Tropical forests, cultivated gardens","India, Bangladesh, tropical Asia, cultivated ornamentally","Well-drained loamy soil, fertile, slightly acidic","Tropical-subtropical, 20-32°C, moderate to high rainfall (1000-2000mm)","Flavonoids, alkaloids, phenols, tannins","Glycosides, triterpenes, saponins",Trace aromatic compounds,Limited nutritional value; medicinal compounds predominant,"Anti-inflammatory, antimicrobial, astringent, anthelmintic, skin health","Traditional skin conditions, wound healing, fever management, parasitic support",Topical inflammation and skin health support,Flowers and leaves,"3-6g dried flower/leaf daily, decoction, limited use","Decoction, infusion, powder","Paste, poultice, topical application, flower decoction wash",Minimal; occasionally in traditional preparations,"Water extraction, 50% ethanol extraction",Very low; generally safe,None significant; safe herb,Generally safe,Minimal interactions expected,"Common, IUCN: Not evaluated (widely cultivated ornamental)"
5_21_shotomuli,Polygonatum verticillatum,Asparagaceae,Polygonatum / verticillatum,Bengali: Shotomuli; English: Whorled Solomon's Seal; Hindi: Miryakandi,"Lanceolate, 5-8cm, glabrous, whorled arrangement (variable), margin entire",Herb (rhizomatous),Perennial,"Himalayan region, Indian Subcontinent","Temperate to subtropical forests, shaded areas, mountainous regions","Himalayas, India, Bangladesh, temperate Asia","Well-drained loamy soil, shade-loving, forest soil","Temperate-subtropical, 10-25°C, high humidity, 1500-3000mm rainfall","Polysaccharides, mucilage, alkaloids, cardiac glycosides (trace)","Saponins, tannins, phenols, flavonoids",Minimal essential oils,"Minerals, polysaccharides, limited nutrients","Demulcent, anthelmintic, anti-inflammatory, respiratory support, joint health","Traditional respiratory support, joint health, rheumatic conditions",Respiratory and joint health support,Rhizome and leaves,"3-6g dried rhizome/leaf daily, decoction","Decoction, infusion, powder","Paste, poultice, topical application",Minimal culinary use,"Water extraction, 50% ethanol extraction",Very low; well-tolerated,None significant,Generally safe,Minimal interactions expected,"Common in native habitat, IUCN: Not evaluated (wild populations fair)"
6_22_sarpagandha,Rauvolfia serpentina,Apocynaceae,Rauvolfia / serpentina,"Bengali: Sarpagandha, Chandrika; English: Indian Snakeroot; Hindi: Sarpagandha","Lanceolate, 8-12cm, glabrous, whorled arrangement (3 per node), acuminate",Shrub/Small tree,Perennial,Indian Subcontinent,"Tropical wet and dry forests, shaded forest areas","India, Bangladesh, endemic to Indian subcontinent","Well-drained loamy soil, fertile, forest soil, slightly acidic","Tropical, 20-30°C, high humidity, 1500-2500mm rainfall, shade-loving","Reserpine, ajmaline, serpentine, alstonine (alkaloids)","Alkaloids (40+ identified), indole alkaloids, phenols",Minimal essential oils,Limited nutritional value; alkaloid-rich,"Antihypertensive, sedative, tranquilizing, antiarrhythmic, antipsychotic potential","Ayurvedic nervous system support, hypertension management, mental conditions","Blood pressure management (historical), psychiatric conditions, sedative therapy",Root and root bark (primary source of alkaloids),"0.5-1g dried root daily, or 50-100mg standardized alkaloid extract","Decoction, powder, standardized extract (pharmaceutical preparations)",Limited external use; primarily internal,None; strictly medicinal,"Aqueous decoction, 50% ethanol extraction, pharmaceutical alkaloid isolation",Moderate; alkaloid content requires careful dosing (LD50 320 mg/kg in animal models),"Pregnancy AVOID (teratogenic potential), depression, lactation AVOID, cardiac arrhythmias with caution",CONTRAINDICATED in pregnancy; potentially teratogenic; avoid in lactation,"SERIOUS: Interactions with blood pressure meds, antidepressants, cardiac drugs - medical supervision needed","Vulnerable, IUCN: Endangered (overharvesting, habitat loss, medicinal demand)"
6_23_anantamul,Hemidesmus indicus,Apocynaceae,Hemidesmus / indicus,"Bengali: Anantamul, Ananta Moola; English: Indian Sarsaparilla; Hindi: Anantamul","Lanceolate-elliptic, 2-4cm, glabrous, opposite arrangement, margin entire","Herb (trailing, climber-like)",Perennial,"Indian Subcontinent, tropical Asia","Tropical deciduous forests, open grasslands, cultivation","India, Bangladesh, Southeast Asia","Well-drained sandy loam, adaptable, slightly acidic","Tropical-subtropical, 20-32°C, moderate rainfall (1000-2000mm)","Flavonoids, phenols, tannins, saponins, coumarins","Glycosides, triterpenes, alkaloids",Trace amounts of aromatic oils,"Minerals, phytochemicals, limited nutritional value","Blood purifier, anti-inflammatory, antimicrobial, skin health, cooling","Ayurvedic blood purification, skin conditions, rheumatic support, cooling tonic","Blood health support, skin condition management, detoxification support","Root, leaves","3-6g dried root daily, decoction or powder","Decoction, powder, infusion, fresh juice","Paste, poultice, topical application",None; medicinal herb,"Aqueous decoction, 50% ethanol extraction, juice extraction",Very low; well-tolerated,None significant; safe herb,Generally safe; traditionally used,Minimal interactions expected,"Common, IUCN: Not evaluated (widespread, cultivated)"
6_24_chapalish,Artabotrys hexapetalus,Annonaceae,Artabotrys / hexapetalus,"Bengali: Chapalish, Chapaliza; English: Black Fruit Ylang-Ylang; Hindi: Chapaliza","Elliptic-lanceolate, 8-15cm, glabrous, alternate arrangement, acuminate apex",Shrub/Small tree,Perennial,"Indian Subcontinent, tropical Asia","Tropical evergreen forests, cultivated gardens","India, Bangladesh, Southeast Asia","Well-drained loamy soil, fertile, slightly acidic","Tropical, 20-32°C, high humidity, 1500-2500mm rainfall","Flavonoids, phenols, alkaloids, tannins","Essential oils (aromatic compounds), glycosides",0.5-1% fragrant essential oil,Limited nutritional value; medicinal compounds predominant,"Anti-inflammatory, antimicrobial, astringent, digestive support","Traditional digestive aid, fever management, skin conditions",Digestive and skin health support,"Leaves, bark, fruits","3-6g dried leaf/bark daily, decoction","Decoction, infusion, powder","Paste, poultice, topical application",Minimal culinary use; fragrant flower ornamental,"Water extraction, 50% ethanol extraction",Very low; well-tolerated,None significant,Generally safe,Minimal interactions expected,"Common, IUCN: Not evaluated (cultivated ornamental)"
6_25_amloki,Phyllanthus emblica,Phyllanthaceae,Phyllanthus / emblica,"Bengali: Amloki, Amlika; English: Indian Gooseberry, Amla; Hindi: Amlika, Amalaki","Leaflets small, 0.4-0.8cm, pinnate feathery arrangement, light green",Tree (medium),Perennial,Indian Subcontinent,"Tropical deciduous forests, cultivated orchards","India, Bangladesh, Southeast Asia","Well-drained loamy soil, slightly acidic to alkaline, fertile","Tropical-subtropical, 20-35°C, moderate rainfall (900-2250mm)","Vitamin C (ascorbic acid), phyllemblic acid, emblicanin A & B, tannins","Flavonoids, polyphenols, gallic acid, ellagic acid",Minimal essential oils,"Exceptionally high vitamin C (600-700mg/100g), copper, zinc, iron, manganese","Antioxidant, immunomodulating, hepatoprotective, cooling, rejuvenative","Ayurvedic rejuvenative tonic, immune support, cooling, digestive aid (Triphala ingredient)","Antioxidant therapy, immune enhancement, liver function support, aging management","Fruit (primary), leaves, bark, seed","Fresh fruit 50-100g daily, or 3-6g dried fruit powder daily","Fresh fruit, dried powder, decoction, juice, herbal jam (Amla murabba)","Paste, topical oil (from seeds), herbal wash","Edible fruit in fresh form, chutneys, pickles, jams, traditional sweets","Water extraction, 50% ethanol extraction, juice extraction, powder preparation",Very low; superfood status,None significant; well-tolerated,Safe and beneficial in pregnancy and lactation; traditional rejuvenative,May enhance anticoagulants; minimal other interactions,"Common, IUCN: Not evaluated (widely cultivated, secure)"
6_26_haritoki,Terminalia chebula,Combretaceae,Terminalia / chebula,"Bengali: Haritoki, Harali; English: Black Myrobalan, Chebulic Myrobalan; Hindi: Harad","Elliptic, 8-15cm, glabrous, opposite to subopposite arrangement, leathery",Tree (large),"Perennial (long-lived, 100+ years)",Indian Subcontinent,"Tropical deciduous and dry forests, cultivated","India, Bangladesh, throughout tropical Asia","Well-drained loamy soil, adaptable, tolerates poor soils","Tropical-subtropical, 15-35°C, moderate rainfall (750-2250mm), drought tolerant","Tannins (30-35%), chebulic acid, ellagic acid, gallic acid, ascorbic acid","Polyphenols, flavonoids, anthocyanins, anthraquinones",Minimal essential oils,"Vitamin C, minerals, antioxidant compounds","Astringent, laxative (mild), anthelmintic, hepatoprotective, rejuvenative, taste support","Ayurvedic rasayana (rejuvenative), digestive aid, parasitic support, taste enhancer (Triphala ingredient)","Digestive health, anthelmintic therapy, hepatoprotection, antioxidant support","Fruit, fruit rind","3-6g dried fruit powder daily, decoction, or as part of Triphala formulation","Decoction, powder, juice, Triphala preparation","Paste, wash, topical application",Limited culinary use; primarily medicinal; occasional spice,"Water extraction, 50% ethanol extraction, powder preparation",Very low; safe at therapeutic doses,"Excess diarrhea, dehydration (mild laxative caution)",Safe in pregnancy and lactation at normal medicinal doses; mild laxative action acceptable,May enhance anticoagulants; minimal other interactions,"Common, IUCN: Not evaluated (widely cultivated and wild populations stable)"
6_27_bohera,Terminalia bellirica,Combretaceae,Terminalia / bellirica,"Bengali: Bohera, Bohera; English: Bastard Myrobalan, Belleric Myrobalan; Hindi: Bahera","Obovate to elliptic, 10-20cm, glabrous, alternate to subopposite, leathery",Tree (large),"Perennial (long-lived, 100+ years)",Indian Subcontinent,"Tropical deciduous forests, cultivated","India, Bangladesh, Southeast Asia","Well-drained loamy soil, adaptable, tolerates poor soils","Tropical-subtropical, 15-35°C, moderate rainfall (750-2250mm)","Tannins (25-30%), belliric acid, polyphenols, vitamin C","Flavonoids, phenols, anthraquinones",Minimal essential oils,"Vitamin C, minerals, antioxidant compounds","Astringent, cooling, anthelmintic, hepatoprotective, eye health support","Ayurvedic eye tonic, respiratory support, fever management, cooling (Triphala ingredient)","Eye health support, respiratory support, anthelmintic therapy","Fruit, fruit kernel","3-6g dried fruit powder daily, decoction, or as part of Triphala","Decoction, powder, juice, Triphala preparation","Eye wash (decoction), paste, topical application",Limited culinary use; primarily medicinal,"Water extraction, 50% ethanol extraction, powder preparation",Very low; safe at therapeutic doses,None significant; well-tolerated,Safe in pregnancy and lactation at normal medicinal doses,Minimal interactions expected,"Common, IUCN: Not evaluated (widely cultivated and wild populations stable)"
6_28_oshwagandha,Withania somnifera,Solanaceae,Withania / somnifera,"Bengali: Oshwagandha, Ashwagandha; English: Indian Ginseng, Winter Cherry; Hindi: Ashwagandha","Ovate to lanceolate, 3-8cm, pubescent, alternate arrangement, margin entire",Herb/Shrub,Perennial,Indian Subcontinent,"Tropical dry forests, arid regions, cultivated","India, Bangladesh, Middle East, now cultivated globally","Well-drained sandy loam, drought tolerant, slightly alkaline","Tropical-subtropical, 15-35°C, drought tolerant, 400-1200mm rainfall","Withanolides (7-60%, 40+ identified), alkaloids, phenols, tannins","Flavonoids, saponins, iron, zinc",Minimal essential oils,"Iron, zinc, mineral content moderate, withanolides predominant","Adaptogenic, anxiolytic, anti-inflammatory, antioxidant, immunomodulating, stress support","Ayurvedic rasayana (rejuvenative), adaptogen, male fertility support, stress and sleep support","Stress and anxiety management, athletic performance, cognitive enhancement, male fertility",Root and leaves,"3-6g dried root powder daily, or 300-500mg standardized extract (5-10% withanolides)","Decoction, powder, standardized extract, milk decoction (traditional)","Paste, topical oil, massage application",Minimal; primarily medicinal; occasional traditional use,"Aqueous decoction, 50-70% ethanol extraction, standardized extraction",Very low; LD50 >3000 mg/kg,"Pregnancy (mild uterine effects in some studies - caution), autoimmune conditions (possible immune enhancement)",Generally regarded as safe but use with caution in pregnancy; acceptable in lactation,May enhance sedatives and anxiolytics; possible interaction with thyroid medications,"Common, IUCN: Not evaluated (widely cultivated, wild populations declining in some regions)"
6_29_devils_backbone,Euphorbia tithymaloides,Euphorbiaceae,Euphorbia / tithymaloides,"Bengali: Devil's Backbone, Zig-Zag Plant; English: Devil's Backbone, Redbird Cactus; Hindi: Nagadaman","Opposite, elliptic-obovate, 2-5cm, glabrous, margin entire, variegated in some varieties",Herb/Succulent shrub,Perennial,Tropical Americas,"Tropical regions, cultivated ornamentally","Pantropical cultivation, ornamental use","Well-drained sandy loam, drought tolerant, poor soil adaptable","Tropical-subtropical, 20-30°C, moderate to low rainfall, drought tolerant","Cardiac glycosides, alkaloids, phenols (potential toxins)","Triterpenes, tannins, saponins",Minimal essential oils,Limited nutritional value; potential toxic compounds,"Limited medicinal use; traditional antimicrobial, anthelmintic (caution required)",Limited traditional medicinal use; primarily ornamental,Minimal; caution due to potential toxins,Leaves only (if used medicinally),"Minimal; external use preferred, very limited internal use (0.1-0.5g maximum)",Strictly LIMITED use; external only recommended,"Paste, poultice, topical application (PRIMARY)",None; toxic for consumption,Water extraction limited; external application preferred,MODERATE - Cardiac glycosides present; potential toxicity,"Pregnancy AVOID, lactation AVOID, cardiac disease, internal use generally contraindicated",AVOID in pregnancy and lactation; cardiac glycoside toxicity risk,SERIOUS: Potential interactions with cardiac drugs - avoid if on heart medications,"Common, IUCN: Not evaluated (widespread ornamental)"
7_30_lemongrass,Cymbopogon citratus,Poaceae,Cymbopogon / citratus,"Bengali: Lemongrass, Sera Ghash; English: Lemongrass, West Indian Lemongrass; Hindi: Nimboo Ghash","Long, linear, 30-90cm, narrow (0.3-0.5cm wide), blade margins rough/serrulate, tufted",Grass (tall perennial),Perennial,"Tropical Asia, Southeast Asia","Tropical grasslands, cultivated widely","India, Bangladesh, Southeast Asia, now cultivated tropically worldwide","Well-drained loamy soil, fertile, slightly acidic to neutral","Tropical-subtropical, 20-30°C, moderate rainfall (750-2000mm), warm growing conditions","Citral (geranial & neral, 70-80%), limonene, myrcene, linalool","Geraniol, nerol, citronellol, other monoterpenes",3-5% essential oil (citral-rich),"Vitamin A, C, minerals (magnesium, potassium, zinc), antioxidants","Antimicrobial, antifungal, insecticidal, anti-inflammatory, digestive support, calming","Traditional digestive aid, fever management, insect repellent, calming tea","Antimicrobial support, digestive health, food preservation, aromatherapy",Leaves and stalks,"3-6g dried leaves daily, fresh juice 5-10ml, or 1-3 cups herbal tea","Herbal tea, fresh juice, infusion, dried powder, essential oil (cautious)","Essential oil massage (diluted), leaf poultice, topical application","Extensively used in Asian cuisine, teas, beverages, curry, soups, stir-fries","Water extraction (tea), steam distillation (essential oil), 50% ethanol extraction","Very low; food-grade herb, essential oil requires caution in high doses","Pregnancy (minimal concern at culinary amounts), essential oil internal use caution",Safe in pregnancy and lactation at normal culinary amounts,Minimal interactions; safe with most medications,"Common, IUCN: Not evaluated (widely cultivated)"
